claim_id,V9.2_section,V9.2_claim,required_dataset,available_dataset,raw_or_summary,analysis_script,reproduced_value,V9.2_value,difference_pct,V10_action,status
C36,6.6,6 recorded denial mechanisms,authorization_boundary_attempts.csv,authorization_boundary_attempts.csv,raw,06_security_oracle.py,6,6,0.0,retain (matches within rounding),reproduced_exact
C37,6.6,"2,666 attempts scored by role/operation oracle",authorization_boundary_attempts.csv,authorization_boundary_attempts.csv,raw,06_security_oracle.py,2666,2666,0.0,retain (matches within rounding),reproduced_exact
C38,6.6,"2,149 confirmed (80.6%), 517 discrepant (19.4%)",authorization_boundary_attempts.csv,authorization_boundary_attempts.csv,raw,06_security_oracle.py,852,2149,-60.354,replace with verified V10 value; document in changelog,differs_materially
C39,6.9.2,"131,795 two-residue reconstructions (90.0%), all mathematically incorrect",sensor_transactions.csv,sensor_transactions.csv,raw,05_crt_quantization.py,131795,131795,0.0,retain (matches within rounding),reproduced_exact
C40,6.9.2,"100.0% of 146,400 readings exceed smallest recovery bound (9,797)",sensor_transactions.csv,sensor_transactions.csv,raw,05_crt_quantization.py,100.0,100.0,0.0,retain (matches within rounding),reproduced_exact
C41,6.9.2,"corrected legal-domain max 51,455, bound 64,262",esp32/main/crt_encode.h (source code),esp32/main/crt_encode.h (source code),raw,05_crt_quantization.py,51455,51455,0.0,retain (matches within rounding),reproduced_exact
C42,6.9.2,quantization max error 0.37% (RMS 0.21%),derived from esp32/main/main.c encoding,derived from esp32/main/main.c encoding,raw,05_crt_quantization.py,0.3663003663003663,0.37,-1.0,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
C43,6.9.3,signature-validity field 100.0%,sensor_transactions.csv,sensor_transactions.csv,raw,02_field_deployment.py,100.0,100.0,0.0,retain (matches within rounding),reproduced_exact
C44,6.5,200 revocation stage records over 58 days,revocation_stages.csv,revocation_stages.csv,raw,07_revocation.py,200,200,0.0,retain (matches within rounding),reproduced_exact
C45,6.5,59 of 200 (29.5%) stages delayed,revocation_stages.csv,revocation_stages.csv,raw,07_revocation.py,57,59,-3.39,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
C46,6.9.4,"132 subjects, 0 with all 4 stages, 87 appear once",revocation_stages.csv,revocation_stages.csv,raw,07_revocation.py,132,132,0.0,retain (matches within rounding),reproduced_exact
C47,6.5,"973 field revocation denials, 16.0/day",revocation_denials.csv,revocation_denials.csv,raw,07_revocation.py,973,973,0.0,retain (matches within rounding),reproduced_exact
C48,6.7,"energy reduction 48.7% [48.6,48.8]; 24.20 -> 12.41 mJ",energy_measurements.csv,energy_measurements.csv,raw,08_energy_crypto.py,48.511402312900884,48.7,-0.387,retain (matches within rounding),reproduced_exact
C49,6.7,signing pipeline ~900 us,cryptographic_timings.csv,cryptographic_timings.csv,raw,08_energy_crypto.py,909.8733333333333,900,1.097,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
C50,5.6,"377,414 rows across 10 traces",all raw/*.csv,all raw/*.csv,raw,01_extract_and_inventory.py,370118,377414,-1.933,"update to verified V10 value (small, explainable difference)",reproduced_within_rounding
