sample_id,mode,payload_bytes,energy_mj,airtime_ms
ENE-00061,single_channel,128,23.464,29.88
ENE-00062,single_channel,232,23.641,46.68
ENE-00063,single_channel,168,23.389,36.01
ENE-00064,single_channel,363,23.509,77.75
ENE-00065,single_channel,102,23.979,26.39
ENE-00066,single_channel,464,21.608,91.05
ENE-00067,single_channel,80,24.006,21.18
ENE-00068,single_channel,459,25.498,91.8
ENE-00069,single_channel,468,25.533,93.07
ENE-00070,single_channel,199,24.433,43.99
ENE-00071,single_channel,296,24.558,62.87
ENE-00072,single_channel,478,25.433,92.25
ENE-00073,single_channel,192,23.56,38.96
ENE-00074,single_channel,498,24.237,95.65
ENE-00075,single_channel,176,23.878,40.53
ENE-00076,single_channel,283,23.753,58.0
ENE-00077,single_channel,164,23.817,39.27
ENE-00078,single_channel,438,25.908,87.18
ENE-00079,single_channel,429,25.035,89.27
ENE-00080,single_channel,249,22.625,55.31
ENE-00081,single_channel,400,25.285,78.61
ENE-00082,single_channel,269,24.154,56.52
ENE-00083,single_channel,358,22.301,70.46
ENE-00084,single_channel,421,26.024,86.91
ENE-00085,single_channel,431,23.14,86.82
ENE-00086,single_channel,199,27.813,45.41
ENE-00087,single_channel,169,25.422,37.18
ENE-00088,single_channel,67,23.469,18.27
ENE-00089,single_channel,473,23.202,96.63
ENE-00090,single_channel,110,25.099,28.35
ENE-00091,single_channel,181,25.281,38.64
ENE-00092,single_channel,179,22.472,39.42
ENE-00093,single_channel,280,24.597,55.15
ENE-00094,single_channel,217,23.244,49.04
ENE-00095,single_channel,327,23.792,68.9
ENE-00096,single_channel,452,23.105,90.99
ENE-00097,single_channel,113,23.54,27.0
ENE-00098,single_channel,290,23.178,59.36
ENE-00099,single_channel,265,23.393,55.37
ENE-00100,single_channel,287,24.593,56.11
ENE-00101,single_channel,175,24.631,38.97
ENE-00102,single_channel,501,25.788,100.53
ENE-00103,single_channel,118,25.633,30.45
ENE-00104,single_channel,72,24.188,20.46
ENE-00105,single_channel,376,22.915,75.03
ENE-00106,single_channel,180,26.227,42.45
ENE-00107,single_channel,289,21.517,56.31
ENE-00108,single_channel,346,22.3,67.31
ENE-00109,single_channel,184,23.091,43.36
ENE-00110,single_channel,262,21.9,57.14
ENE-00111,single_channel,420,23.199,86.44
ENE-00112,single_channel,150,23.191,34.25
ENE-00113,single_channel,501,26.861,98.49
ENE-00114,single_channel,91,23.877,21.47
ENE-00115,single_channel,392,24.228,79.15
ENE-00116,single_channel,442,23.964,87.37
ENE-00117,single_channel,422,24.989,82.14
ENE-00118,single_channel,101,22.619,25.9
ENE-00119,single_channel,350,25.956,72.23
ENE-00120,single_channel,124,23.891,26.11
ENE-00121,single_channel,131,23.555,33.3
ENE-00122,single_channel,75,25.717,20.79
ENE-00123,single_channel,475,22.493,94.77
ENE-00124,single_channel,479,23.725,89.76
ENE-00125,single_channel,182,21.711,43.5
ENE-00126,single_channel,256,24.189,54.76
ENE-00127,single_channel,167,23.902,38.56
ENE-00128,single_channel,289,26.219,61.13
ENE-00129,single_channel,300,23.546,58.46
ENE-00130,single_channel,434,23.994,85.71
ENE-00131,single_channel,404,25.966,79.38
ENE-00132,single_channel,352,26.386,67.37
ENE-00133,single_channel,270,23.083,56.1
ENE-00134,single_channel,389,26.542,78.41
ENE-00135,single_channel,483,23.65,92.29
ENE-00136,single_channel,432,22.891,82.87
ENE-00137,single_channel,172,23.079,40.02
ENE-00138,single_channel,123,22.997,29.39
ENE-00139,single_channel,252,25.077,54.69
ENE-00140,single_channel,501,24.618,102.27
ENE-00141,single_channel,480,25.619,92.91
ENE-00142,single_channel,388,23.363,80.74
ENE-00143,single_channel,405,21.751,81.95
ENE-00144,single_channel,359,25.05,73.46
ENE-00145,single_channel,335,25.091,66.89
ENE-00146,single_channel,165,22.372,35.51
ENE-00147,single_channel,128,24.243,31.02
ENE-00148,single_channel,430,24.37,84.03
ENE-00149,single_channel,97,22.334,27.3
ENE-00150,single_channel,396,23.786,79.71
ENE-00151,crt,194,12.632,45.96
ENE-00152,crt,106,12.106,27.22
ENE-00153,crt,89,12.065,20.68
ENE-00154,crt,154,12.763,32.67
ENE-00155,crt,126,10.486,28.21
ENE-00156,crt,473,13.297,98.61
ENE-00157,crt,325,13.609,66.5
ENE-00158,crt,73,13.057,22.54
ENE-00159,crt,270,12.967,60.43
ENE-00160,crt,156,11.999,33.73
ENE-00161,crt,368,11.602,74.44
ENE-00162,crt,457,11.961,90.44
ENE-00163,crt,138,10.84,32.8
ENE-00164,crt,423,13.284,84.97
ENE-00165,crt,408,12.539,81.77
ENE-00166,crt,257,13.048,52.07
ENE-00167,crt,117,13.428,27.8
ENE-00168,crt,365,13.057,70.98
ENE-00169,crt,252,12.215,53.29
ENE-00170,crt,101,12.627,25.24
ENE-00171,crt,335,13.889,66.45
ENE-00172,crt,403,12.539,77.79
ENE-00173,crt,245,12.675,54.4
ENE-00174,crt,296,13.045,56.87
ENE-00175,crt,429,12.903,83.67
ENE-00176,crt,485,14.055,93.19
ENE-00177,crt,434,12.557,85.52
ENE-00178,crt,284,12.525,57.9
ENE-00179,crt,284,10.508,57.57
ENE-00180,crt,480,12.435,95.21
ENE-00181,crt,313,12.551,63.2
ENE-00182,crt,308,12.628,62.9
ENE-00183,crt,130,13.276,31.85
ENE-00184,crt,473,12.344,92.69
ENE-00185,crt,123,14.071,29.69
ENE-00186,crt,90,12.101,22.76
ENE-00187,crt,290,11.625,62.81
ENE-00188,crt,228,12.426,48.14
ENE-00189,crt,260,13.67,54.4
ENE-00190,crt,320,12.897,61.55
ENE-00191,crt,478,12.401,93.66
ENE-00192,crt,342,12.725,70.14
ENE-00193,crt,191,13.044,43.49
ENE-00194,crt,188,14.391,39.89
ENE-00195,crt,228,13.157,52.3
ENE-00196,crt,348,11.274,69.09
ENE-00197,crt,313,12.366,67.19
ENE-00198,crt,391,11.396,77.18
ENE-00199,crt,498,12.919,95.9
ENE-00200,crt,424,11.972,85.34
ENE-00201,crt,428,11.404,82.51
ENE-00202,crt,146,12.287,28.83
ENE-00203,crt,141,13.223,32.35
ENE-00204,crt,182,11.785,40.47
ENE-00205,crt,499,13.022,96.35
ENE-00206,crt,239,11.804,53.23
ENE-00207,crt,225,11.378,46.94
ENE-00208,crt,266,13.182,57.76
ENE-00209,crt,485,11.35,96.94
ENE-00210,crt,457,13.07,90.23
ENE-00211,crt,165,13.355,35.56
ENE-00212,crt,322,11.671,66.2
ENE-00213,crt,217,10.601,48.03
ENE-00214,crt,482,13.604,96.25
ENE-00215,crt,234,12.655,54.58
ENE-00216,crt,282,12.825,61.5
ENE-00217,crt,273,12.845,54.7
ENE-00218,crt,415,11.934,84.48
ENE-00219,crt,126,13.846,29.31
ENE-00220,crt,412,12.717,84.19
ENE-00221,crt,65,12.653,23.27
ENE-00222,crt,198,12.843,39.84
ENE-00223,crt,279,14.744,59.43
ENE-00224,crt,104,12.609,26.5
ENE-00225,crt,504,11.742,101.44
ENE-00226,crt,378,12.652,74.77
ENE-00227,crt,292,12.164,61.0
ENE-00228,crt,65,10.408,18.72
ENE-00229,crt,147,12.961,35.07
ENE-00230,crt,500,10.402,100.33
ENE-00231,crt,477,11.219,92.81
ENE-00232,crt,451,11.456,87.92
ENE-00233,crt,416,10.648,83.11
ENE-00234,crt,474,13.421,90.75
ENE-00235,crt,446,11.118,86.94
ENE-00236,crt,248,11.863,53.51
ENE-00237,crt,213,11.064,45.07
ENE-00238,crt,312,10.724,65.23
ENE-00239,crt,284,12.202,60.1
ENE-00240,crt,173,11.926,42.51
ENE-00241,crt,312,13.911,63.44
ENE-00242,crt,460,12.097,93.9
ENE-00243,crt,69,11.752,18.79
ENE-00244,crt,396,13.904,79.54
ENE-00245,crt,235,12.777,50.38
ENE-00246,crt,269,14.35,57.68
ENE-00247,crt,498,12.224,93.89
ENE-00248,crt,284,13.962,60.19
ENE-00249,crt,432,11.832,85.61
ENE-00250,crt,81,12.588,20.74
ENE-00251,crt,411,10.631,80.41
ENE-00252,crt,508,12.231,101.3
ENE-00253,crt,187,12.781,41.93
ENE-00254,crt,286,9.632,64.0
ENE-00255,crt,344,10.734,69.69
ENE-00256,crt,170,11.516,40.04
ENE-00257,crt,383,10.979,72.37
ENE-00258,crt,291,13.453,60.45
ENE-00259,crt,127,11.345,31.83
ENE-00260,crt,347,13.423,69.4
ENE-00261,crt,456,14.08,90.43
ENE-00262,crt,362,12.972,74.6
ENE-00263,crt,206,11.405,48.92
ENE-00264,crt,345,12.026,73.45
ENE-00265,crt,381,13.073,76.59
ENE-00266,crt,369,12.415,76.81
ENE-00267,crt,192,12.945,45.37
ENE-00268,crt,246,12.978,53.92
ENE-00269,crt,203,11.165,42.69
ENE-00270,crt,262,11.668,58.91
ENE-00271,crt,377,11.982,77.33
ENE-00272,crt,111,12.325,26.3
ENE-00273,crt,449,12.95,85.82
ENE-00274,crt,379,13.812,76.19
ENE-00275,crt,384,11.486,79.94
ENE-00276,crt,298,11.839,62.66
ENE-00277,crt,412,16.262,81.68
ENE-00278,crt,413,11.338,83.75
ENE-00279,crt,155,12.947,33.49
ENE-00280,crt,102,12.821,22.54
ENE-00281,crt,249,12.084,54.12
ENE-00282,crt,359,12.568,73.89
ENE-00283,crt,344,11.334,69.77
ENE-00284,crt,344,11.163,69.94
ENE-00285,crt,315,13.074,65.15
ENE-00286,crt,174,13.107,37.33
ENE-00287,crt,423,12.269,82.59
ENE-00288,crt,468,15.727,92.02
ENE-00289,crt,448,12.852,89.93
ENE-00290,crt,365,12.485,71.54
ENE-00291,crt,197,12.206,40.38
ENE-00292,crt,190,11.715,42.59
ENE-00293,crt,107,13.031,28.48
ENE-00294,crt,262,11.719,56.76
ENE-00295,crt,415,11.063,84.07
ENE-00296,crt,115,11.359,28.18
ENE-00297,crt,256,13.788,51.76
ENE-00298,crt,487,11.548,90.86
ENE-00299,crt,190,11.507,46.42
ENE-00300,crt,411,12.93,83.8
